,gender,age,openness,neuroticism,conscientiousness,agreeableness,extraversion,personality
704,1,20,4,5,6,6,1,responsible
705,0,18,6,3,1,5,5,dependable
706,0,22,5,2,3,6,1,serious
707,0,19,5,6,5,7,5,extraverted
708,1,18,5,5,7,6,5,extraverted
709,1,20,7,9,9,5,5,dependable
710,0,17,5,4,5,2,4,serious
711,1,25,5,5,7,2,4,serious
712,1,18,6,2,7,4,7,serious
713,1,19,2,4,7,1,3,responsible
714,1,19,6,4,7,5,5,serious
715,1,24,1,2,7,4,6,extraverted
716,0,27,4,5,7,4,4,serious
717,0,20,6,4,5,6,6,serious
718,0,21,5,4,4,6,4,serious
719,0,20,6,1,7,6,5,serious
720,0,19,4,4,4,4,3,responsible
721,1,20,4,5,5,5,2,responsible
722,1,20,4,4,4,4,5,serious
723,1,19,7,2,4,3,4,lively
724,1,17,6,6,5,7,6,extraverted
725,0,17,5,4,6,6,5,serious
726,0,18,5,3,5,6,7,serious
727,0,23,4,2,1,5,6,serious
728,1,23,5,4,4,5,4,extraverted
729,1,24,5,3,7,3,5,serious
730,1,25,5,7,3,7,6,dependable
731,1,20,4,5,6,5,5,serious
732,0,19,6,6,5,1,3,extraverted
733,1,19,6,1,5,5,6,extraverted
734,0,17,6,6,7,6,4,serious
735,0,17,4,6,3,5,4,extraverted
736,0,22,6,8,2,6,4,dependable
737,0,23,3,6,6,7,3,serious
738,1,21,4,2,3,5,4,responsible
739,0,19,4,4,6,4,3,serious
740,0,24,6,2,5,2,2,lively
741,0,25,5,5,1,7,6,extraverted
742,1,26,6,2,6,3,3,lively
743,0,23,7,4,7,5,5,serious
744,1,18,4,4,6,3,5,serious
745,0,19,2,4,5,5,6,serious
746,0,20,2,2,4,7,5,serious
747,1,17,3,7,3,3,7,extraverted
748,1,21,5,4,6,1,5,serious
749,0,18,5,4,6,2,1,responsible
750,1,19,2,5,4,6,3,responsible
751,1,22,3,6,6,1,6,serious
752,1,20,8,2,5,1,4,extraverted
753,1,25,4,6,6,3,6,dependable
754,0,24,5,6,3,3,8,serious
755,1,17,5,6,6,2,3,responsible
756,1,21,5,6,7,4,6,dependable
757,1,25,2,5,4,4,7,serious
758,0,23,5,7,1,3,6,extraverted
759,0,17,6,5,6,2,7,serious
760,0,19,5,5,5,4,3,serious
761,1,24,2,6,7,4,6,serious
762,0,24,4,5,5,6,2,lively
763,1,19,6,6,5,3,6,extraverted
764,0,28,4,7,6,2,5,serious
765,1,20,3,5,3,8,5,extraverted
766,1,21,4,4,5,6,4,serious
767,0,19,5,2,7,7,6,serious
768,0,24,6,4,5,2,6,serious
769,1,25,3,2,7,2,3,responsible
770,0,26,6,4,6,6,4,serious
771,1,21,7,5,5,1,5,dependable
772,0,19,5,5,4,2,7,serious
773,1,18,3,5,4,8,7,serious
774,1,20,4,5,5,2,4,responsible
775,0,19,1,4,6,7,5,serious
776,0,21,5,6,5,1,4,serious
777,0,21,3,4,6,4,7,serious
778,0,18,3,3,5,7,5,serious
779,0,19,5,1,1,5,5,serious
780,1,24,6,4,4,1,7,serious
781,0,23,3,6,5,5,6,serious
782,0,25,7,2,5,5,5,serious
783,1,23,3,3,3,5,4,responsible
784,1,19,4,6,5,4,4,extraverted
785,0,20,4,4,5,7,6,serious
786,1,21,5,4,2,5,8,serious
787,0,19,5,5,7,7,4,serious
788,1,18,5,7,7,4,5,extraverted
789,0,20,6,4,7,6,5,serious
790,0,23,7,5,4,6,6,serious
791,0,19,7,6,4,3,5,extraverted
792,1,26,5,6,5,7,3,extraverted
793,0,20,5,3,7,8,6,serious
794,0,18,6,2,7,6,4,lively
795,1,23,2,2,6,4,6,serious
796,1,21,4,3,4,5,6,serious
797,0,21,1,1,6,5,6,serious
798,1,17,6,3,5,6,4,serious
799,0,24,4,4,4,5,6,dependable
800,1,19,6,3,2,4,3,responsible
801,1,22,5,5,5,5,6,responsible
802,1,21,5,3,6,8,6,serious
803,1,20,6,2,5,6,7,serious
804,0,23,3,6,6,4,3,serious
805,0,19,5,4,4,5,5,serious
806,1,23,5,6,6,6,3,extraverted
807,1,18,5,5,8,6,5,serious
808,1,18,4,5,6,5,6,serious
809,1,24,6,5,5,6,3,extraverted
810,1,18,2,7,1,4,8,extraverted
811,1,23,6,6,1,2,2,extraverted
812,1,18,7,4,3,6,1,extraverted
813,0,19,5,5,4,6,4,dependable
814,0,19,4,7,4,6,8,serious
815,1,22,6,2,1,6,6,serious
816,1,19,5,6,2,5,5,extraverted
817,0,18,7,2,7,3,6,dependable
818,0,19,3,4,3,6,5,serious
819,0,20,6,1,1,7,6,serious
820,1,18,4,6,7,7,7,serious
821,0,22,6,1,5,6,4,lively
822,0,19,5,1,1,2,8,serious
823,0,25,5,5,6,6,5,extraverted
824,1,17,6,6,4,7,5,extraverted
825,1,19,4,1,5,7,5,serious
826,0,18,4,3,3,7,4,serious
827,0,17,5,1,5,7,6,serious
828,1,23,6,7,5,7,6,extraverted
829,0,20,6,2,5,8,1,lively
830,1,25,6,1,4,6,3,lively
831,0,20,4,1,2,7,5,responsible
832,1,21,7,4,5,7,7,serious
833,0,22,5,4,7,5,3,lively
834,0,19,7,2,1,6,5,serious
835,0,20,6,1,3,7,5,serious
836,0,19,5,5,3,7,6,responsible
837,1,19,4,1,6,6,4,responsible
838,1,19,5,5,5,4,6,serious
839,1,22,5,1,5,6,6,dependable
840,1,19,6,6,7,6,5,dependable
841,0,24,5,1,2,5,4,serious
842,0,19,6,6,6,4,4,serious
843,0,19,6,7,7,4,4,dependable
844,1,18,4,5,5,4,5,responsible
845,1,22,3,4,3,1,5,responsible
846,1,19,5,5,2,7,7,extraverted
847,0,18,7,2,5,5,5,serious
848,1,19,6,5,5,4,7,serious
849,1,22,5,3,6,6,5,serious
850,0,19,5,5,5,6,6,serious
851,1,19,6,1,7,3,7,serious
852,1,19,5,1,3,7,6,serious
853,1,25,5,3,2,7,7,dependable
854,1,19,6,4,3,5,4,extraverted
855,0,19,3,4,5,6,6,serious
856,0,18,6,3,6,7,5,serious
857,0,26,6,4,5,5,5,serious
858,1,22,4,4,1,7,6,serious
859,1,17,7,3,5,3,6,serious
860,0,20,6,1,6,4,4,lively
861,1,23,5,7,6,5,6,extraverted
862,1,19,5,6,5,4,4,extraverted
863,0,19,6,5,4,5,7,responsible
864,0,22,3,4,3,4,3,responsible
865,1,21,5,7,2,6,5,extraverted
866,0,18,3,5,7,3,6,serious
867,1,19,5,6,4,2,7,serious
868,1,19,3,5,3,3,2,responsible
869,1,20,5,6,5,6,1,extraverted
870,1,19,5,4,3,5,5,serious
871,0,23,4,3,2,6,6,dependable
872,1,20,3,4,7,6,6,serious
873,1,17,2,6,6,2,5,responsible
874,0,18,4,4,4,4,4,lively
875,1,21,6,6,5,6,5,extraverted
876,0,22,7,7,2,5,7,responsible
877,1,19,4,7,7,3,5,extraverted
878,1,25,3,3,5,4,5,serious
879,1,26,1,5,5,5,5,serious
880,0,27,1,5,2,7,6,serious
881,1,18,4,2,3,5,5,responsible
882,1,17,5,5,3,1,5,responsible
883,1,19,6,1,5,5,6,serious
884,0,19,6,3,3,6,5,serious
885,1,23,7,2,4,6,4,lively
886,1,22,7,3,4,4,5,serious
887,0,23,3,3,5,4,7,responsible
888,0,21,4,4,1,6,4,serious
889,0,17,7,1,4,5,4,lively
890,0,20,5,6,6,3,4,serious
891,1,20,6,5,4,4,5,extraverted
892,1,18,4,4,1,5,6,extraverted
893,1,24,4,4,4,6,3,extraverted
894,0,19,7,3,3,5,6,serious
895,0,18,4,3,6,6,3,serious
896,1,19,6,6,2,3,5,extraverted
897,1,23,6,6,6,3,3,extraverted
898,0,21,5,5,2,7,5,serious
899,1,21,6,4,6,6,5,serious
900,0,25,7,7,5,6,6,extraverted
901,0,18,3,6,7,4,3,lively
902,0,17,7,5,7,5,1,lively
903,0,20,3,4,6,6,5,serious
904,1,18,5,5,5,7,4,extraverted
905,0,24,5,6,7,4,5,serious
906,1,19,6,6,6,5,5,extraverted
907,0,18,3,5,4,4,2,responsible
908,1,18,5,4,6,7,4,dependable
909,0,21,6,4,7,5,5,serious
910,0,18,4,6,3,6,5,serious
911,0,17,5,4,5,8,1,lively
912,1,17,5,4,6,7,5,extraverted
913,1,21,5,5,7,6,4,serious
914,0,20,7,5,5,4,5,serious
915,0,18,6,3,6,6,6,serious
916,1,19,3,5,3,5,5,extraverted
917,1,23,6,6,6,4,6,responsible
918,0,18,8,3,6,7,6,serious
919,1,18,2,7,6,6,4,extraverted
920,1,20,6,6,1,5,5,responsible
921,0,24,6,7,3,1,5,extraverted
922,1,20,5,8,2,5,7,extraverted
923,0,18,7,7,8,4,2,lively
924,0,18,6,6,3,6,6,dependable
925,0,23,6,6,3,6,3,extraverted
926,1,18,7,7,7,5,6,dependable
927,0,21,7,6,6,6,5,serious
928,0,21,6,7,7,4,5,dependable
929,0,22,4,6,3,5,4,lively
930,0,18,5,7,5,4,5,extraverted
931,1,19,6,6,5,4,4,dependable
932,0,19,2,5,5,3,7,serious
933,0,23,5,4,6,4,5,serious
934,0,19,7,8,7,4,3,extraverted
935,0,19,1,6,7,8,7,serious
936,1,20,3,7,3,2,5,extraverted
937,1,18,5,6,7,5,4,responsible
938,0,21,6,7,7,6,5,serious
939,1,20,2,6,5,5,3,extraverted
940,0,17,3,7,6,3,7,serious
941,0,22,3,7,6,6,7,serious
942,1,19,6,6,3,5,7,serious
943,1,17,6,7,4,4,5,extraverted
944,0,20,3,7,7,5,6,serious
945,0,22,4,4,5,2,3,serious
946,1,19,6,8,1,3,6,extraverted
947,0,19,6,5,6,7,5,serious
948,1,21,4,5,7,7,5,serious
949,0,18,7,5,7,5,5,serious
950,0,26,2,5,3,6,6,serious
951,1,26,3,6,6,6,5,extraverted
952,0,24,5,4,5,7,8,serious
953,1,18,2,6,6,7,6,extraverted
954,1,20,5,6,2,2,3,extraverted
955,0,18,6,5,5,5,7,serious
956,0,19,1,5,4,7,6,serious
957,1,22,3,3,2,6,4,responsible
958,1,17,6,6,3,6,5,extraverted
959,1,21,2,3,7,8,5,serious
960,0,20,4,7,3,5,4,responsible
961,0,19,7,3,4,7,5,serious
962,0,17,6,6,2,5,6,extraverted
963,0,20,6,4,8,5,5,serious
964,1,18,1,4,2,5,5,lively
965,1,22,5,3,4,5,2,responsible
966,1,19,6,8,6,4,4,extraverted
967,0,18,5,1,6,6,3,lively
968,0,20,7,4,7,6,7,serious
969,1,19,6,2,3,5,4,responsible
970,1,5,5,5,5,5,5,responsible
971,1,21,7,1,7,8,5,lively
972,0,22,6,2,2,4,4,dependable
973,0,19,4,4,5,4,5,serious
974,0,20,5,5,3,4,3,serious
975,1,18,5,4,4,6,6,serious
976,0,19,4,3,1,7,5,serious
977,1,22,7,4,4,3,6,responsible
978,0,18,6,6,3,2,6,serious
979,1,18,5,8,5,5,4,extraverted
980,0,20,1,7,6,3,7,serious
981,1,22,5,5,4,5,3,lively
982,0,17,3,2,7,4,6,serious
983,1,18,6,6,8,2,1,responsible
984,1,19,6,2,7,1,4,responsible
985,1,21,5,6,3,5,4,serious
986,0,24,4,6,5,6,2,extraverted
987,1,21,1,6,7,4,6,serious
988,0,20,4,6,6,3,6,serious
989,0,19,4,2,6,2,3,responsible
990,0,19,7,7,4,4,5,extraverted
991,0,17,6,5,5,5,5,responsible
992,1,17,7,6,5,5,5,extraverted
993,0,22,7,5,7,2,3,lively
994,1,17,6,7,7,4,5,responsible
995,0,18,6,6,7,6,5,serious
996,1,19,6,5,5,6,4,extraverted
997,1,23,6,5,7,4,3,extraverted
998,0,20,7,7,2,7,6,extraverted
999,0,21,5,8,5,6,6,extraverted
1000,1,20,5,6,4,6,7,extraverted
1001,1,20,5,5,4,4,5,lively
1002,0,19,4,6,6,4,5,serious
1003,0,25,5,8,4,6,6,extraverted
1004,1,25,7,4,3,8,5,extraverted
1005,0,17,3,7,1,5,5,extraverted
1006,1,18,5,5,6,6,4,extraverted
1007,1,25,5,8,7,1,1,extraverted
1008,1,22,6,5,5,7,5,extraverted
1009,0,17,6,3,7,1,8,serious
1010,0,18,5,6,6,4,4,serious
1011,0,23,4,4,5,6,4,serious
1012,0,24,4,7,7,3,6,serious
1013,1,19,6,3,2,4,8,serious
1014,1,19,4,5,6,5,5,serious
1015,1,17,6,3,6,4,6,serious
1016,0,20,1,2,5,8,4,serious
1017,0,18,3,3,6,5,5,serious
1018,0,22,4,4,7,5,6,serious
1019,1,19,6,5,6,4,3,extraverted
1020,0,18,2,5,8,3,7,dependable
1021,0,18,7,5,6,2,7,serious
1022,0,23,6,7,5,4,3,extraverted
1023,1,18,5,7,3,5,6,extraverted
